continent,week,mean,standard_deviation,min,max
Africa,1/22/20,0.0,0.0,0,0
Africa,1/29/20,0.0,0.0,0,0
Africa,2/5/20,0.0,0.0,0,0
Africa,2/12/20,0.14,0.12,0,1
Africa,2/19/20,0.14,0.12,0,1
Africa,2/26/20,1.29,2.2,0,4
Africa,3/4/20,12.29,146.2,0,39
Africa,3/11/20,45.29,574.2,11,76
Africa,3/18/20,198.86,8407.27,95,367
Africa,3/25/20,384.43,5921.39,224,457
Africa,4/1/20,523.57,7871.1,420,728
Africa,4/8/20,623.29,6508.78,523,747
Africa,4/15/20,979.0,23309.43,654,1144
Africa,4/22/20,1233.57,18477.39,1042,1422
Africa,4/29/20,1767.14,88274.98,1507,2409
Africa,5/6/20,2566.71,142756.49,2125,3308
Asia,1/22/20,4.71,7.92,2,11
Asia,1/29/20,8.71,22.78,1,16
Asia,2/5/20,6.71,21.35,0,16
Asia,2/12/20,12.71,34.78,5,22
Asia,2/19/20,35.14,454.12,13,81
Asia,2/26/20,366.0,69314.57,102,888
Asia,3/4/20,938.14,75947.27,654,1383
Asia,3/11/20,1598.29,48545.35,1176,1846
Asia,3/18/20,2546.14,282111.27,1807,3465
Asia,3/25/20,6863.71,1397752.49,5285,8981
Asia,4/1/20,9757.29,746892.2,8691,11405
Asia,4/8/20,12850.29,1495029.06,10513,14198
Asia,4/15/20,17029.71,2639585.63,14689,19781
Asia,4/22/20,17912.29,356392.2,17097,18910
Asia,4/29/20,21978.29,4589618.2,18337,24569
Asia,5/6/20,27452.86,1158549.27,25698,29087
Oceania,1/22/20,0.57,1.1,0,3
Oceania,1/29/20,0.0,0.0,0,0
Oceania,2/5/20,0.0,0.0,0,0
Oceania,2/12/20,0.0,0.0,0,0
Oceania,2/19/20,0.0,0.0,0,0
Oceania,2/26/20,1.29,5.92,0,7
Oceania,3/4/20,6.0,14.0,0,10
Oceania,3/11/20,22.29,168.78,0,39
Oceania,3/18/20,87.29,5311.92,2,233
Oceania,3/25/20,176.0,5566.57,0,247
Oceania,4/1/20,110.86,1202.98,64,158
Oceania,4/8/20,57.57,603.96,0,75
Oceania,4/15/20,60.57,160.82,45,82
Oceania,4/22/20,85.57,2095.67,8,169
Oceania,4/29/20,85.29,2438.2,2,153
Oceania,5/6/20,72.0,2256.86,0,158
Europe,1/22/20,1.14,1.84,0,4
Europe,1/29/20,2.57,3.96,0,6
Europe,2/5/20,2.43,3.67,0,5
Europe,2/12/20,0.29,0.2,0,1
Europe,2/19/20,47.71,1666.49,0,104
Europe,2/26/20,421.86,37273.55,160,735
Europe,3/4/20,2121.14,588332.98,955,3348
Europe,3/11/20,8225.86,1.626781927E7,659,13972
Europe,3/18/20,20042.71,1.240017792E7,13499,25175
Europe,3/25/20,32656.86,7855459.55,28945,36048
Europe,4/1/20,31663.71,1.474803849E7,25944,36242
Europe,4/8/20,32412.43,7.532076024E7,23103,50402
Europe,4/15/20,25872.29,5.207282249E7,16561,39669
Europe,4/22/20,17856.86,4111627.27,13853,19961
Europe,4/29/20,14117.14,4056644.98,11007,16620
Europe,5/6/20,13443.0,6700482.86,10478,18095
America,1/22/20,0.29,0.2,0,1
America,1/29/20,0.29,0.49,0,2
America,2/5/20,0.43,0.53,0,2
America,2/12/20,0.14,0.12,0,1
America,2/19/20,0.43,0.24,0,1
America,2/26/20,5.14,16.12,1,12
America,3/4/20,19.43,91.39,8,36
America,3/11/20,187.43,17262.82,37,401
America,3/18/20,1108.14,186768.41,423,1584
America,3/25/20,2360.0,421968.57,1532,3800
America,4/1/20,4072.57,328726.24,3333,4914
America,4/8/20,6042.57,1149227.1,4848,7752
America,4/15/20,7614.86,222708.12,7015,8599
America,4/22/20,12402.29,1.392296763E7,9161,20795
America,4/29/20,14997.0,912204.0,13592,16081
America,5/6/20,18354.0,5785248.86,14035,21017
